Year,Month,Day,Open,High,Low,Close,Volumn,Return
2020,10,14,0.94102,0.94407,0.93775,0.93858,70000,1
2020,10,13,0.94517,0.94539,0.93951,0.94103,44218,1.00261033
2020,10,12,0.94925,0.94961,0.94431,0.94516,2712,1.00438881
2020,10,11,0.9486,0.94948,0.94762,0.94925,50766,1.00432731
2020,10,9,0.94636,0.95032,0.94568,0.94947,52729,1.00023176
2020,10,8,0.94613,0.94922,0.94469,0.94636,63116,0.99672449
2020,10,7,0.94575,0.94965,0.94552,0.94612,76946,0.9997464
2020,10,6,0.95336,0.95471,0.94459,0.94577,53836,0.99963007
2020,10,5,0.95296,0.95499,0.95124,0.95334,1522,1.00800406
2020,10,4,0.95268,0.95315,0.95142,0.95292,92644,0.99955944
2020,10,2,0.95415,0.95442,0.94972,0.9531,78836,1.00018889
2020,10,1,0.95414,0.95764,0.95253,0.95415,86964,1.00110167
2020,9,30,0.95599,0.95828,0.95221,0.95415,64341,1
2020,9,29,0.94627,0.95599,0.94625,0.95598,67362,1.00191794
2020,9,28,0.94207,0.94626,0.94183,0.94624,1855,0.9898115
2020,9,27,0.94122,0.94222,0.94061,0.94201,72877,0.99552968
2020,9,25,0.94194,0.94557,0.93909,0.94118,95978,0.99911891
2020,9,24,0.9467,0.947,0.94004,0.94194,87587,1.0008075
2020,9,23,0.9537,0.95429,0.94547,0.94672,82548,1.00507463
2020,9,22,0.96146,0.96226,0.95283,0.95367,83629,1.00734114
2020,9,21,0.96287,0.96552,0.95755,0.96144,1975,1.00814747
2020,9,20,0.96381,0.96381,0.96119,0.96288,70892,1.00149775
2020,9,18,0.96201,0.96483,0.96009,0.96224,92293,0.99933533
2020,9,17,0.96216,0.96523,0.95984,0.96199,74211,0.99974019
2020,9,16,0.96295,0.96676,0.9595,0.96214,56668,1.00015593
2020,9,15,0.96027,0.96553,0.95821,0.96298,51433,1.00087305
2020,9,14,0.96056,0.96215,0.95735,0.96026,1753,0.99717543
2020,9,13,0.95918,0.9608,0.95885,0.96052,64033,1.00027076
2020,9,11,0.95832,0.96199,0.95758,0.95974,87754,0.99918794
