date,open,high,low,close,volumn,return,code
2014-03-21,0.9035799999999999,0.90994,0.90351,0.90795,0,0.99869107,AUDUSD
2014-03-23,0.9104,0.9109700000000001,0.90881,0.90914,30885,0.99628505,AUDUSD
2014-03-24,0.90917,0.9148299999999999,0.9046799999999999,0.91253,3318,0.99615741,AUDUSD
2014-03-25,0.91253,0.9173,0.91184,0.91605,38506,0.99355741,AUDUSD
2014-03-26,0.91604,0.9243899999999999,0.9153100000000001,0.92199,37665,0.9948423000000001,AUDUSD
2014-03-27,0.92204,0.92704,0.9215200000000001,0.9267700000000001,41907,1.00215186,AUDUSD
2014-03-28,0.92676,0.9294,0.92363,0.9247799999999999,37766,0.99898457,AUDUSD
2014-03-30,0.9240799999999999,0.9257200000000001,0.9240799999999999,0.9257200000000001,30905,0.99895326,AUDUSD
2014-03-31,0.92571,0.9276700000000001,0.9217,0.92669,2675,1.00332388,AUDUSD
2014-04-01,0.92675,0.9302,0.9229,0.9236200000000001,35962,0.99902652,AUDUSD
2014-04-02,0.92363,0.9262299999999999,0.92212,0.9245200000000001,36575,1.00148405,AUDUSD
2014-04-03,0.9245200000000001,0.9247700000000001,0.9204399999999999,0.92315,33747,0.99368151,AUDUSD
2014-04-04,0.9231600000000001,0.9306399999999999,0.92291,0.9290200000000001,37816,1.00029071,AUDUSD
2014-04-06,0.92829,0.92919,0.9279299999999999,0.92875,30694,1.00246095,AUDUSD
2014-04-07,0.9287,0.92943,0.9253,0.9264700000000001,3242,0.99118443,AUDUSD
2014-04-08,0.92648,0.9365100000000001,0.9264399999999999,0.93471,32427,0.99698146,AUDUSD
2014-04-09,0.93475,0.9398200000000001,0.9333799999999999,0.9375399999999999,43031,0.99786068,AUDUSD
2014-04-10,0.93755,0.9460299999999999,0.9374,0.93955,39752,0.99991486,AUDUSD
2014-04-11,0.9395700000000001,0.9425399999999999,0.9362,0.93963,46077,1.00141746,AUDUSD
2014-04-13,0.93906,0.9395100000000001,0.93753,0.9383,34626,0.99710952,AUDUSD
2014-04-14,0.9383,0.9424299999999999,0.93824,0.9410200000000001,2860,1.00733271,AUDUSD
2014-04-15,0.94104,0.9416399999999999,0.9335600000000001,0.9341700000000001,35636,0.99684142,AUDUSD
2014-04-16,0.93415,0.9386899999999999,0.9331200000000001,0.9371299999999999,43070,1.00457732,AUDUSD
2014-04-17,0.9371200000000001,0.93894,0.93201,0.93286,41778,1.00033242,AUDUSD
2014-04-18,0.93285,0.93409,0.9322299999999999,0.93255,33190,0.99937844,AUDUSD
2014-04-20,0.93317,0.93399,0.93279,0.9331299999999999,14516,0.99960364,AUDUSD
2014-04-21,0.93314,0.93455,0.93143,0.9335,1919,0.99636038,AUDUSD
2014-04-22,0.93355,0.93768,0.9330799999999999,0.93691,23389,1.00885118,AUDUSD
2014-04-23,0.93689,0.9376200000000001,0.92665,0.92869,34062,1.00219066,AUDUSD
2014-04-24,0.92869,0.9299799999999999,0.92511,0.92666,39265,0.99976264,AUDUSD
2014-04-25,0.9266700000000001,0.9297200000000001,0.9252799999999999,0.9268799999999999,33285,0.99970878,AUDUSD
2014-04-27,0.9273299999999999,0.92758,0.92679,0.92715,25828,1.00218348,AUDUSD
2014-04-28,0.92716,0.93155,0.9243399999999999,0.9251299999999999,1775,0.99776747,AUDUSD
2014-04-29,0.9251299999999999,0.92809,0.92268,0.9272,36019,0.99906257,AUDUSD
2014-04-30,0.9272,0.93,0.92514,0.9280700000000001,35877,1.00080878,AUDUSD
2014-05-01,0.92811,0.93115,0.92595,0.92732,38713,0.99987061,AUDUSD
2014-05-02,0.92729,0.92791,0.9201299999999999,0.9274399999999999,33183,1.00014019,AUDUSD
2014-05-04,0.9283399999999999,0.9283399999999999,0.9272,0.9273100000000001,32610,0.99903039,AUDUSD
2014-05-05,0.9272799999999999,0.9288200000000001,0.92514,0.9282100000000001,1853,0.99296099,AUDUSD
2014-05-06,0.92822,0.93663,0.9269799999999999,0.93479,33333,1.00284292,AUDUSD
